taxon,lfc_(Intercept),lfc_GroupPLE,se_(Intercept),se_GroupPLE,W_(Intercept),W_GroupPLE,p_(Intercept),p_GroupPLE,q_(Intercept),q_GroupPLE,diff_(Intercept),diff_GroupPLE,passed_ss_(Intercept),passed_ss_GroupPLE
 s__Muricomes_contortus_B,1.529787085,-1.972076683,NA,0.22605762,NA,-8.723778855,1,6.99E-08,1,6.89E-05,FALSE,TRUE,FALSE,TRUE
 s__Slackia_A_piriformis,-0.005717378,1.32668357,NA,0.130142404,NA,10.19409149,1,7.36E-08,1,7.25E-05,FALSE,TRUE,FALSE,FALSE
 s__Carnobacterium_maltaromaticum,-1.606286994,2.76769137,NA,0.199537242,NA,13.87055038,1,7.40E-08,1,7.28E-05,FALSE,TRUE,TRUE,FALSE
 s__Blautia_A_faecis,2.199354716,-2.489002821,NA,0.400147133,NA,-6.220219057,1,7.55E-08,1,7.42E-05,FALSE,TRUE,FALSE,TRUE
 s__Other_23,-1.852912333,2.446147839,NA,0.200418028,NA,12.20522858,1,9.77E-08,1,9.59E-05,FALSE,TRUE,TRUE,FALSE
 s__Porphyromonas_gulae,1.161163899,-1.494262525,NA,0.153304013,NA,-9.747054237,1,1.28E-07,1,0.000125746,FALSE,TRUE,FALSE,TRUE
 s__Eubacterium_callanderi,-0.441021839,1.384406207,NA,0.151188229,NA,9.156838563,1,1.57E-07,1,0.000154025,FALSE,TRUE,TRUE,FALSE
 s__[Paraprevotella_Trix_p1_metabat2_high_PE.010.contigs],1.785881114,-1.537347236,NA,0.146441564,NA,-10.49802527,1,2.11E-07,1,0.000206868,FALSE,TRUE,FALSE,FALSE
 s__[Planococcus_X81_Wolf_maxbin2_low_prob.004.contigs],1.254707274,-1.027437238,NA,0.14476363,NA,-7.097343691,1,2.45E-07,1,0.000240001,FALSE,TRUE,FALSE,FALSE
 s__Sellimonas_sp002161525,2.425445165,-2.820513024,NA,0.476052408,NA,-5.924795204,1,2.53E-07,1,0.000247214,FALSE,TRUE,FALSE,TRUE
 s__Acidovorax_sp001428665,-0.65864248,1.73840306,NA,0.276454467,NA,6.288207531,1,2.56E-07,1,0.00024976,FALSE,TRUE,TRUE,FALSE
 s__[Paraprevotella_SAMEA103957796_maxbin2_low_prob.028.contigs],1.745896644,-1.444373015,NA,0.165588948,NA,-8.722641408,1,2.92E-07,1,0.00028489,FALSE,TRUE,TRUE,FALSE
 s__Nostoc_sp001712795,-1.428698329,2.31346558,NA,0.36658572,NA,6.31084479,1,3.01E-07,1,0.000293566,FALSE,TRUE,FALSE,TRUE
 s__Enterocloster_bolteae,-0.780334402,1.776929521,NA,0.275139245,NA,6.458291761,1,3.35E-07,1,0.000326344,FALSE,TRUE,TRUE,FALSE
 s__[Fusobacterium_B_Kenny_p2_metabat2_low_PE.024.contigs],-1.04802238,2.040339329,NA,0.220781037,NA,9.24146092,1,4.46E-07,1,0.000433286,FALSE,TRUE,TRUE,FALSE
 s__Slackia_A_faecicanis,-1.147744351,1.985442369,NA,0.138301346,NA,14.35591499,1,5.41E-07,1,0.000525569,FALSE,TRUE,TRUE,FALSE
 s__UBA7173_sp001701135,1.356242701,-1.355056056,NA,0.197791789,NA,-6.850921697,1,5.50E-07,1,0.000533875,FALSE,TRUE,FALSE,TRUE
 s__Lactobacillus_johnsonii,2.440501886,-2.045073019,NA,0.314917537,NA,-6.493995349,1,5.82E-07,1,0.000563933,FALSE,TRUE,FALSE,TRUE
 s__Other_129,1.635306875,-1.409352755,NA,0.113746508,NA,-12.39029471,1,5.86E-07,1,0.000567223,FALSE,TRUE,FALSE,FALSE
 s__Enterocloster_sp000431375,-0.409070441,1.257404403,NA,0.17374355,NA,7.237128517,1,7.18E-07,1,0.000694495,FALSE,TRUE,TRUE,FALSE
 s__Lactobacillus_taiwanensis,-0.921308339,1.66078562,NA,0.152465689,NA,10.89284832,1,7.22E-07,1,0.000697465,FALSE,TRUE,TRUE,FALSE
 s__Schaedlerella_sp900765975,2.566462109,-3.007829339,NA,0.540492742,NA,-5.564976371,1,7.33E-07,1,0.000707482,FALSE,TRUE,FALSE,TRUE
 s__Enterococcus_D_sp002850555,-1.152447213,2.355164755,NA,0.256020816,NA,9.199114332,1,8.76E-07,1,0.000844234,FALSE,TRUE,TRUE,FALSE
 s__Robinsoniella_peoriensis,1.898295599,-2.794397481,NA,0.285063643,NA,-9.802714409,1,9.02E-07,1,0.000868483,FALSE,TRUE,FALSE,TRUE
 s__Lacticaseibacillus_paracasei,-1.809351327,2.711327352,NA,0.202151629,NA,13.41234481,1,9.14E-07,1,0.000879636,FALSE,TRUE,TRUE,FALSE
 s__Phocaeicola_sp002161565,1.623282775,-1.696932438,NA,0.259487019,NA,-6.53956581,1,1.13E-06,1,0.001087602,FALSE,TRUE,FALSE,FALSE
 s__Peptoniphilus_A_harei_A,-0.373447636,1.370857712,NA,0.133989798,NA,10.23106034,1,1.29E-06,1,0.001237219,FALSE,TRUE,FALSE,FALSE
 s__Other_111,-0.235229754,1.119532997,NA,0.146741332,NA,7.629295614,1,1.54E-06,1,0.001473905,FALSE,TRUE,FALSE,FALSE
 s__Other_169,-0.522205557,1.433456229,NA,0.116370546,NA,12.31803299,1,1.76E-06,1,0.001682232,FALSE,TRUE,FALSE,FALSE
 s__[Blautia_A_Cobain_p1_metabat2_high_PE.010.contigs],2.015837677,-2.654807422,NA,0.145742432,NA,-18.215748,1,1.76E-06,1,0.001686937,FALSE,TRUE,FALSE,TRUE
 s__[Paraprevotella_Cinder_p2_metabat2_high_PE.004.contigs],1.639197052,-1.716848496,NA,0.308862128,NA,-5.558624186,1,1.97E-06,1,0.00188349,FALSE,TRUE,FALSE,TRUE
 s__Lactobacillus_paragasseri,2.151894539,-1.68564364,NA,0.217936316,NA,-7.734569745,1,2.02E-06,1,0.001932688,FALSE,TRUE,TRUE,FALSE
 s__Collinsella_vaginalis,-1.355192563,2.226128626,NA,0.190511906,NA,11.68498427,1,2.62E-06,1,0.002504245,FALSE,TRUE,TRUE,FALSE
 s__Leuconostoc_lactis,2.679646751,-2.345155922,NA,0.340683635,NA,-6.88367647,1,2.65E-06,1,0.002525004,FALSE,TRUE,TRUE,FALSE
 s__Collinsella_ihuae,-0.958735241,1.941307824,NA,0.16857111,NA,11.51625459,1,2.93E-06,1,0.002790909,FALSE,TRUE,TRUE,FALSE
 s__Enterocloster_clostridioformis,-1.030064044,1.979742536,NA,0.348729719,NA,5.677011251,1,3.08E-06,1,0.002933209,FALSE,TRUE,TRUE,TRUE
 s__Bosea_robiniae,-1.068370409,1.507864792,NA,0.174759173,NA,8.628244037,1,3.16E-06,1,0.00300297,FALSE,TRUE,TRUE,FALSE
 s__Lactonifactor_sp009677585,1.241857133,-1.206715466,NA,0.198653366,NA,-6.074477832,1,3.39E-06,1,0.003221641,FALSE,TRUE,FALSE,TRUE
 s__Globicatella_sanguinis,-1.334030523,2.325179934,NA,0.177658574,NA,13.08791285,1,3.54E-06,1,0.0033601,FALSE,TRUE,TRUE,FALSE
 s__Other_43,2.676516768,-2.445232855,NA,0.153583929,NA,-15.9211505,1,3.90E-06,1,0.003690873,FALSE,TRUE,TRUE,FALSE
 s__Other_128,-0.23383009,0.935073689,NA,0.15732878,NA,5.943436975,1,4.65E-06,1,0.004395621,FALSE,TRUE,TRUE,FALSE
 s__Other_19,-0.525606246,2.252468925,NA,0.346437784,NA,6.501799252,1,5.43E-06,1,0.00512713,FALSE,TRUE,TRUE,FALSE
 s__Other_33,1.022045858,-0.946102798,NA,0.122891076,NA,-7.698710332,1,5.56E-06,1,0.005246435,FALSE,TRUE,FALSE,TRUE
 s__Bacteroides_oleiciplenus,-0.339736526,1.000815269,NA,0.105573037,NA,9.479837838,1,5.57E-06,1,0.005253971,FALSE,TRUE,FALSE,FALSE
 s__Latilactobacillus_curvatus,-0.375177056,1.224295118,NA,0.189792543,NA,6.450701916,1,5.98E-06,1,0.005633762,FALSE,TRUE,TRUE,FALSE
 s__Phocaeicola_sp900556845,1.50093245,-1.495988545,NA,0.256676376,NA,-5.828306315,1,6.13E-06,1,0.005769376,FALSE,TRUE,FALSE,FALSE
 s__Romboutsia_lituseburensis,-0.44106831,1.12428634,NA,0.130828365,NA,8.593597718,1,6.26E-06,1,0.005881674,FALSE,TRUE,FALSE,FALSE
 s__Phocaeicola_sp002161765,1.332321803,-1.557415999,NA,0.130263251,NA,-11.95591223,1,6.52E-06,1,0.006119752,FALSE,TRUE,FALSE,TRUE
 s__An172_sp002160515,-0.507031337,1.646932519,NA,0.291446472,NA,5.650891947,1,6.99E-06,1,0.006558279,FALSE,TRUE,TRUE,FALSE
 s__Bacteroides_sp012113595,-0.487839735,1.598368631,NA,0.267147109,NA,5.983102855,1,7.52E-06,1,0.007043908,FALSE,TRUE,TRUE,FALSE
 s__Other_101,-1.0344822,1.803071016,NA,0.230228776,NA,7.831649213,1,7.99E-06,1,0.007480126,FALSE,TRUE,TRUE,FALSE
 s__Bacteroides_nordii,-0.160494533,0.946346596,NA,0.156438553,NA,6.049318271,1,8.09E-06,1,0.00756225,FALSE,TRUE,TRUE,FALSE
 s__Other_70,-0.908715847,1.464094228,NA,0.221622,NA,6.606267546,1,8.35E-06,1,0.007794979,FALSE,TRUE,TRUE,TRUE
 s__[Bacteroides_Kenny_p2_metabat2_high_PE.033.contigs],0.99207289,-0.914408858,NA,0.142509651,NA,-6.416469695,1,8.53E-06,1,0.007958946,FALSE,TRUE,FALSE,TRUE
 s__Mediterraneibacter_sp014287475,1.323665265,-1.277322255,NA,0.229330151,NA,-5.569796415,1,8.60E-06,1,0.008015336,FALSE,TRUE,FALSE,FALSE
 s__Bifidobacterium_gallinarum,-0.923089043,1.829734419,NA,0.18381651,NA,9.954135349,1,8.78E-06,1,0.008178342,FALSE,TRUE,TRUE,FALSE
 s__Alistipes_timonensis,2.557876927,-2.986581072,NA,0.588851838,NA,-5.071871866,1,8.90E-06,1,0.008275236,FALSE,TRUE,FALSE,TRUE
 s__Bacteroides_pyogenes_A,-0.482624528,1.029240584,NA,0.143766111,NA,7.15913214,1,1.15E-05,1,0.010680272,FALSE,TRUE,TRUE,FALSE
 s__[Bacteroides_LinusII_BA0109CM-p1_metabat2_high_PE.029.contigs],1.22017145,-1.030417574,NA,0.203552779,NA,-5.062164125,1,1.16E-05,1,0.010800908,FALSE,TRUE,FALSE,TRUE
 s__Ligilactobacillus_salivarius,-0.420356651,1.335103058,NA,0.214324668,NA,6.229348538,1,1.21E-05,1,0.011170424,FALSE,TRUE,TRUE,FALSE
 s__Micromonospora_carbonacea,0.170569068,1.040477539,NA,0.130644155,NA,7.96421038,1,1.22E-05,1,0.011340092,FALSE,TRUE,FALSE,FALSE
 s__Levilactobacillus_brevis,-0.51888805,1.313787448,NA,0.250516177,NA,5.2443218,1,1.29E-05,1,0.011898148,FALSE,TRUE,FALSE,TRUE
 s__Alistipes_onderdonkii,1.464272227,-1.385158108,NA,0.273077555,NA,-5.072398228,1,1.29E-05,1,0.011910202,FALSE,TRUE,FALSE,TRUE
 s__Niameybacter_massiliensis,1.18920683,-1.074009921,NA,0.126763246,NA,-8.472565601,1,1.40E-05,1,0.012879795,FALSE,TRUE,FALSE,FALSE
 s__Bacillus_A_bombysepticus,1.11403529,-0.840740242,NA,0.155308683,NA,-5.413349892,1,1.46E-05,1,0.01349171,FALSE,TRUE,FALSE,FALSE
 s__Staphylococcus_aureus,-0.341720061,1.52788235,NA,0.27612249,NA,5.533349898,1,1.46E-05,1,0.01349171,FALSE,TRUE,TRUE,FALSE
 s__Butyricimonas_paravirosa,1.229009494,-1.108156167,NA,0.120180137,NA,-9.220792996,1,1.55E-05,1,0.014261302,FALSE,TRUE,FALSE,FALSE
 s__Lactobacillus_delbrueckii,1.820965024,-1.871430962,NA,0.300386055,NA,-6.230086029,1,1.61E-05,1,0.014807462,FALSE,TRUE,FALSE,FALSE
 s__[CAG-279_Escalade_p1_maxbin2_low_prob.003.contigs],-0.442292946,1.33236928,NA,0.108619904,NA,12.26634563,1,1.79E-05,1,0.016415567,FALSE,TRUE,TRUE,FALSE
 s__[Blautia_A_Oklahoma_p2_maxbin2_low_prob.020.contigs],-0.23834106,1.040222813,NA,0.20872608,NA,4.983674368,1,1.80E-05,1,0.016538251,FALSE,TRUE,TRUE,TRUE
 s__Megamonas_funiformis,1.984491204,-2.126517186,NA,0.44575139,NA,-4.770635012,1,1.82E-05,1,0.016659245,FALSE,TRUE,FALSE,TRUE
 s__Phocaeicola_sp900544075,1.454625611,-1.549807121,NA,0.285622677,NA,-5.42606468,1,1.89E-05,1,0.017292424,FALSE,TRUE,FALSE,TRUE
 s__Blautia_hansenii,-0.434221921,1.566964874,NA,0.327901357,NA,4.778769098,1,1.91E-05,1,0.017496505,FALSE,TRUE,TRUE,FALSE
 s__Ligilactobacillus_murinus,1.359919286,-0.970447442,NA,0.1431328,NA,-6.780049326,1,1.96E-05,1,0.017875581,FALSE,TRUE,FALSE,FALSE
 s__Other_67,-0.38910867,4.104420757,NA,0.263265592,NA,15.59041851,1,1.97E-05,1,0.017990945,FALSE,TRUE,FALSE,FALSE
 s__Limosilactobacillus_sp009663775,1.333046337,-1.484334161,NA,0.251413646,NA,-5.903952253,1,2.22E-05,1,0.020244954,FALSE,TRUE,FALSE,TRUE
 s__[Blautia_A_Burrito_p2_metabat2_high_PE.028.contigs],1.369492687,-1.232211883,NA,0.209657875,NA,-5.877250643,1,2.34E-05,1,0.021277849,FALSE,TRUE,FALSE,FALSE
 s__[Prevotellamassilia_Flurry_p1_maxbin2_low_prob.007.contigs],1.686883714,-1.520840481,NA,0.193140386,NA,-7.874274846,1,2.51E-05,1,0.022829929,FALSE,TRUE,FALSE,FALSE
 s__[Bacteroides_Magnolia_p2_metabat2_high_PE.022.contigs],0.966729325,-0.963526737,NA,0.131605797,NA,-7.321309217,1,2.54E-05,1,0.023038104,FALSE,TRUE,FALSE,TRUE
 s__Clostridium_AQ_innocuum,-0.581719907,1.277046984,NA,0.193823388,NA,6.588714578,1,2.58E-05,1,0.023398168,FALSE,TRUE,TRUE,FALSE
 s__[Dubosiella_Tephra_p1_metabat2_high_PE.015.contigs],-1.462578706,2.692967405,NA,0.184674495,NA,14.58223784,1,2.74E-05,1,0.024812692,FALSE,TRUE,TRUE,FALSE
 s__[Bacteroides_Belle_p2_metabat2_low_PE.016.contigs],1.81626231,-2.083388035,NA,0.425301424,NA,-4.898615234,1,3.10E-05,1,0.028068671,FALSE,TRUE,FALSE,TRUE
 s__Terrisporobacter_mayombei,-0.372081687,1.078821939,NA,0.114382624,NA,9.431694278,1,3.14E-05,1,0.028404805,FALSE,TRUE,FALSE,FALSE
 s__[Bacteroides_Red_p2_metabat2_high_PE.033.contigs],1.115130863,-1.08953898,NA,0.211847118,NA,-5.143043682,1,3.27E-05,1,0.029561319,FALSE,TRUE,FALSE,TRUE
 s__Phocaeicola_sartorii,1.165674485,-1.36699168,NA,0.203570579,NA,-6.715074864,1,3.31E-05,1,0.029842839,FALSE,TRUE,FALSE,TRUE
 s__[Dubosiella_Belle_p2_metabat2_low_PE.017.contigs],-0.859654606,1.399247005,NA,0.149580623,NA,9.35446705,1,3.32E-05,1,0.029874945,FALSE,TRUE,TRUE,FALSE
 s__Peptoniphilus_A_harei,0.040928542,0.793956613,NA,0.128658238,NA,6.171051478,1,3.37E-05,1,0.030345944,FALSE,TRUE,FALSE,FALSE
 s__[Paraprevotella_Oklahoma_p2_metabat2_low_PE.029.contigs],0.765858775,-1.41839107,NA,0.152098035,NA,-9.325505582,1,3.38E-05,1,0.030419022,FALSE,TRUE,FALSE,TRUE
 s__[Dubosiella_Tephra_p2_metabat2_high_PE.037.contigs],-0.858635921,1.907402508,NA,0.173807482,NA,10.97422555,1,3.40E-05,1,0.03054053,FALSE,TRUE,TRUE,FALSE
 s__Streptococcus_pseudopneumoniae_J,-0.15366,0.962092858,NA,0.203017041,NA,4.738975879,1,3.73E-05,1,0.033501823,FALSE,TRUE,TRUE,FALSE
 s__Blautia_sp002161285,1.151604425,-0.814595448,NA,0.128965576,NA,-6.316378938,1,3.85E-05,1,0.034517396,FALSE,TRUE,FALSE,FALSE
 s__Merdimonas_faecis,1.005083184,-0.958159683,NA,0.158201342,NA,-6.056583772,1,4.06E-05,1,0.03629648,FALSE,TRUE,FALSE,TRUE
 s__Olsenella_E_timonensis,-0.830186862,1.327850769,NA,0.179977187,NA,7.377883773,1,4.20E-05,1,0.037555474,FALSE,TRUE,TRUE,FALSE
 s__Other_107,-0.043460673,0.936991481,NA,0.196731984,NA,4.762781639,1,4.23E-05,1,0.037815317,FALSE,TRUE,TRUE,FALSE
 s__CAG-462_sp900291465,1.026152495,-0.877551846,NA,0.166107087,NA,-5.283048811,1,4.24E-05,1,0.037833839,FALSE,TRUE,FALSE,TRUE
 s__Other_60,-0.482189083,1.410627371,NA,0.304911078,NA,4.626356584,1,4.45E-05,1,0.039615414,FALSE,TRUE,TRUE,FALSE
 s__[Dubosiella_Michael_p2_metabat2_high_PE.032.contigs],-0.852738395,1.391466267,NA,0.156980186,NA,8.863961109,1,4.71E-05,1,0.041913811,FALSE,TRUE,TRUE,FALSE
 s__Peptostreptococcus_russellii_A,-0.258034377,0.979009698,NA,0.164784045,NA,5.941168011,1,4.89E-05,1,0.043510284,FALSE,TRUE,TRUE,FALSE
 s__[Bacteroides_Ash_p1_metabat2_low_PE.028.contigs],-0.222534558,1.48594202,NA,0.280806404,NA,5.291695627,1,4.96E-05,1,0.044042335,FALSE,TRUE,TRUE,FALSE
 s__Enterocloster_sp005845215,-0.938435835,1.447748084,NA,0.165053748,NA,8.771373597,1,5.04E-05,1,0.044716166,FALSE,TRUE,TRUE,FALSE
 s__Streptococcus_alactolyticus,-0.632804267,1.40813376,NA,0.251571223,NA,5.597356249,1,5.09E-05,1,0.045100744,FALSE,TRUE,TRUE,FALSE
 s__[Romboutsia_Bissell_p1_maxbin2_high_prob.028.contigs],-0.036635387,0.83524399,NA,0.106896233,NA,7.813596123,1,5.17E-05,1,0.045776149,FALSE,TRUE,FALSE,FALSE
 s__Ligilactobacillus_animalis,-0.797297017,1.873818864,NA,0.413660385,NA,4.529848478,1,5.22E-05,1,0.046184518,FALSE,TRUE,TRUE,TRUE
 s__Lactiplantibacillus_pentosus,-0.949892852,2.041899187,NA,0.160218846,NA,12.74443823,1,5.29E-05,1,0.046712253,FALSE,TRUE,TRUE,FALSE
 s__Leuconostoc_kimchii,2.412884786,-2.05786669,NA,0.288658415,NA,-7.129072231,1,5.49E-05,1,0.04842171,FALSE,TRUE,TRUE,FALSE
 s__Citrobacter_freundii,-0.346817698,0.867925948,NA,0.162863301,NA,5.329168347,1,5.54E-05,1,0.048773559,FALSE,TRUE,TRUE,FALSE
 s__[Clostridium_GCF_015670405.1],-0.209061011,1.091840877,NA,0.236550389,NA,4.615679895,1,5.70E-05,1,0.050142827,FALSE,FALSE,TRUE,TRUE
 s__Bifidobacterium_choerinum,1.820624366,-2.079941866,NA,0.269886363,NA,-7.706731974,1,5.71E-05,1,0.050172968,FALSE,FALSE,FALSE,TRUE
 s__[Peptacetobacter_Freddie_p1_maxbin2_high_prob.035.contigs],-0.15711165,0.807435163,NA,0.121579192,NA,6.641228258,1,5.77E-05,1,0.050680521,FALSE,FALSE,FALSE,TRUE
 s__Streptococcus_equi,0.065338365,0.761870535,NA,0.148790543,NA,5.120423105,1,6.08E-05,1,0.053317892,FALSE,FALSE,FALSE,TRUE
 s__Romboutsia_hominis,0.100473837,0.856772398,NA,0.137223433,NA,6.243630415,1,6.32E-05,1,0.055332138,FALSE,FALSE,FALSE,TRUE
 s__Lachnospira_eligens,1.035857353,-1.037646444,NA,0.150681169,NA,-6.886371079,1,7.18E-05,1,0.062783732,FALSE,FALSE,FALSE,FALSE
 s__[Bacteroides_Reba_p2_metabat2_high_PE.013.contigs],0.893801206,-0.693977301,NA,0.121812833,NA,-5.697078746,1,7.33E-05,1,0.064052589,FALSE,FALSE,FALSE,FALSE
 s__Anaerostipes_hadrus_A,1.048115755,-0.953515675,NA,0.20330031,NA,-4.690183083,1,7.61E-05,1,0.066477795,FALSE,FALSE,FALSE,FALSE
 s__Phocaeicola_sp900540105,1.229243815,-1.30794551,NA,0.252901156,NA,-5.171765642,1,7.66E-05,1,0.066811783,FALSE,FALSE,FALSE,FALSE
 s__Fusobacterium_A_sp900555845,-0.356817255,1.03333867,NA,0.220453866,NA,4.687323878,1,8.38E-05,1,0.072983356,FALSE,FALSE,TRUE,FALSE
 s__Gabonibacter_massiliensis,-0.663928927,1.332825118,NA,0.168162296,NA,7.925826142,1,9.67E-05,1,0.084155452,FALSE,FALSE,TRUE,TRUE
 s__Peptoniphilus_A_phoceensis,-0.126093811,0.868076567,NA,0.121646125,NA,7.136080703,1,9.84E-05,1,0.085535299,FALSE,FALSE,FALSE,TRUE
 s__An7_sp002159335,-0.204145385,1.139651416,NA,0.145169289,NA,7.850499374,1,0.000102797,1,0.089227406,FALSE,FALSE,TRUE,TRUE
 s__Other_148,1.207940431,-1.288280038,NA,0.164516988,NA,-7.830680932,1,0.000104463,1,0.09056953,FALSE,FALSE,FALSE,FALSE
 s__Alistipes_A_indistinctus,1.330794832,-1.003273701,NA,0.128356289,NA,-7.816318997,1,0.00010569,1,0.091527467,FALSE,FALSE,FALSE,FALSE
 s__Other_35,1.504603664,-1.211194196,NA,0.109963556,NA,-11.01450548,1,0.000107367,1,0.092872147,FALSE,FALSE,FALSE,TRUE
 s__[Bacteroides_LinusII_BA0109CM-p1_metabat2_high_PE.035.contigs],1.252963794,-1.101322771,NA,0.259347589,NA,-4.24651248,1,0.000107403,1,0.092872147,FALSE,FALSE,FALSE,FALSE
 s__Phocaeicola_sp900546645,1.603625481,-1.681013291,NA,0.396076079,NA,-4.244167677,1,0.000111393,1,0.096132172,FALSE,FALSE,FALSE,FALSE
 s__[Prevotellamassilia_LinusII_BA0109CM-p1_maxbin2_high_prob.004.contigs],0.106876254,0.926385878,NA,0.13222926,NA,7.005906871,1,0.000111977,1,0.096523846,FALSE,FALSE,FALSE,TRUE
 s__VUNI01_sp009695765,-0.632905754,1.322694657,NA,0.150844358,NA,8.76860542,1,0.000121893,1,0.104949747,FALSE,FALSE,FALSE,TRUE
 s__Muricomes_fissicatena_A,1.195064022,-1.204004637,NA,0.234811605,NA,-5.127534628,1,0.000123816,1,0.106482152,FALSE,FALSE,FALSE,FALSE
 s__Enterococcus_faecalis,-0.730390163,1.745325927,NA,0.387803439,NA,4.50054268,1,0.00012562,1,0.107907963,FALSE,FALSE,TRUE,TRUE
 s__Bifidobacterium_criceti,-1.039645887,2.168711205,NA,0.205218442,NA,10.56781828,1,0.000131096,1,0.112480256,FALSE,FALSE,TRUE,TRUE
 s__Roseburia_hominis,1.535224215,-1.927823525,NA,0.436294476,NA,-4.418629231,1,0.000135585,1,0.116196307,FALSE,FALSE,FALSE,FALSE
 s__Anaerotruncus_colihominis,1.823557663,-1.85296791,NA,0.398355637,NA,-4.651541834,1,0.000136991,1,0.117263917,FALSE,FALSE,FALSE,FALSE
 s__Christensenella_hongkongensis,-0.087017626,0.933437704,NA,0.109038342,NA,8.560637388,1,0.000139465,1,0.119242767,FALSE,FALSE,FALSE,TRUE
 s__[Schaedlerella_Snoopy_p2_maxbin2_low_prob.037.contigs],1.465661742,-1.435055281,NA,0.345372335,NA,-4.155096216,1,0.000143474,1,0.122527152,FALSE,FALSE,FALSE,FALSE
 s__Butyricimonas_faecihominis,1.32844918,-1.033962006,NA,0.200482172,NA,-5.157376329,1,0.000145512,1,0.124121638,FALSE,FALSE,FALSE,TRUE
 s__Pauljensenia_cardiffensis,-0.037762526,1.53697823,NA,0.183177738,NA,8.390638774,1,0.000156027,1,0.132934898,FALSE,FALSE,FALSE,TRUE
 s__Prevotella_intermedia,1.154132194,-1.049253294,NA,0.200628519,NA,-5.229831234,1,0.000162447,1,0.13824245,FALSE,FALSE,FALSE,TRUE
 s__Other_48,1.301882992,-1.308038901,NA,0.295306927,NA,-4.429421661,1,0.000163521,1,0.138992822,FALSE,FALSE,FALSE,FALSE
 s__Acidaminococcus_fermentans,-0.172175711,0.782339063,NA,0.118085416,NA,6.625196326,1,0.000165002,1,0.140086465,FALSE,FALSE,FALSE,TRUE
 s__Massilistercora_timonensis,1.15083891,-0.960114959,NA,0.217157582,NA,-4.421282229,1,0.000167005,1,0.141620537,FALSE,FALSE,FALSE,FALSE
 s__Flavonifractor_sp900549795,-0.007767004,0.975890578,NA,0.217721465,NA,4.482289235,1,0.000169182,1,0.143296884,FALSE,FALSE,TRUE,TRUE
 s__Levilactobacillus_sp012641185,-0.170489016,0.883532311,NA,0.134224342,NA,6.582504325,1,0.000172507,1,0.145940944,FALSE,FALSE,FALSE,TRUE
 s__Schaedlerella_arabinosiphila,1.129180321,-1.02222768,NA,0.197742442,NA,-5.169490524,1,0.000180429,1,0.15246282,FALSE,FALSE,FALSE,FALSE
 s__Lactobacillus_hominis,-1.423860482,2.750925463,NA,0.680977871,NA,4.039669393,1,0.000184233,1,0.155492882,FALSE,FALSE,FALSE,FALSE
