taxon,lfc_(Intercept),lfc_GroupPLE,se_(Intercept),se_GroupPLE,W_(Intercept),W_GroupPLE,p_(Intercept),p_GroupPLE,q_(Intercept),q_GroupPLE,diff_(Intercept),diff_GroupPLE,passed_ss_(Intercept),passed_ss_GroupPLE
 g__Gordonibacter,-0.51040072,1.070378619,NA,0.1671173,NA,6.404954018,1,0.000365555,1,0.099065505,FALSE,FALSE,FALSE,TRUE
 g__Clostridium_R,1.301680574,-1.17544227,NA,0.307521899,NA,-3.822304277,1,0.000380513,1,0.102738477,FALSE,FALSE,FALSE,FALSE
 g__Blautia_A,1.422036606,-1.289625698,NA,0.341751998,NA,-3.77357179,1,0.000385309,1,0.103648232,FALSE,FALSE,FALSE,FALSE
 g__UBA9475,1.015111947,-0.859793109,NA,0.147170055,NA,-5.842174258,1,0.00038619,1,0.103648232,FALSE,FALSE,FALSE,FALSE
 g__Pauljensenia,0.015787704,1.249022655,NA,0.239698268,NA,5.210812179,1,0.000395078,1,0.105485758,FALSE,FALSE,TRUE,TRUE
 g__Clavibacter,0.08377046,0.715908735,NA,0.154984876,NA,4.619216759,1,0.000397662,1,0.10577818,FALSE,FALSE,TRUE,TRUE
 g__Blautia,-0.208067423,1.206859501,NA,0.31943348,NA,3.778124631,1,0.00042148,1,0.111692316,FALSE,FALSE,TRUE,TRUE
 g__Dubosiella,-0.402288154,1.319391696,NA,0.305726615,NA,4.315593182,1,0.000468972,1,0.123808673,FALSE,FALSE,TRUE,TRUE
 g__Clostridioides_A,0.224023837,0.715877345,NA,0.161237607,NA,4.439890664,1,0.000477256,1,0.125518318,FALSE,FALSE,FALSE,TRUE
 g__An7,-0.093215043,0.839180738,NA,0.157997362,NA,5.311359184,1,0.000486501,1,0.127463243,FALSE,FALSE,TRUE,TRUE
 g__Other_19,0.253906631,0.67494401,NA,0.156690807,NA,4.307489513,1,0.000542134,1,0.141496907,FALSE,FALSE,FALSE,TRUE
 g__Liquorilactobacillus,0.970277907,-0.894583499,NA,0.174474715,NA,-5.127295955,1,0.000621837,1,0.161677563,FALSE,FALSE,FALSE,TRUE
 g__Clostridium_J,0.045684245,0.622718585,NA,0.163386178,NA,3.811329647,1,0.000666087,1,0.172516533,FALSE,FALSE,TRUE,TRUE
 g__Kurthia,1.030037502,-0.706529428,NA,0.183179935,NA,-3.857024128,1,0.000678039,1,0.174934105,FALSE,FALSE,FALSE,FALSE
 g__Porphyromonas,1.191931935,-0.985574073,NA,0.271070451,NA,-3.635859498,1,0.000709273,1,0.182283086,FALSE,FALSE,FALSE,TRUE
 g__Alloprevotella,0.896695052,-0.583027528,NA,0.14506164,NA,-4.019170943,1,0.000733364,1,0.187741248,FALSE,FALSE,FALSE,FALSE
 g__Other_38,1.054175743,-1.416025839,NA,0.193220301,NA,-7.328556234,1,0.000741745,1,0.189144882,FALSE,FALSE,FALSE,FALSE
 g__TF01-11,1.466676216,-1.433919993,NA,0.400703633,NA,-3.5785051,1,0.000768629,1,0.195231854,FALSE,FALSE,FALSE,FALSE
 g__Fusobacterium,1.154568889,-1.159539977,NA,0.163510504,NA,-7.091532025,1,0.000863494,1,0.218463866,FALSE,FALSE,FALSE,TRUE
 g__Bittarella,0.819516963,-0.591695751,NA,0.147015288,NA,-4.024722605,1,0.000878855,1,0.221471463,FALSE,FALSE,FALSE,FALSE
 g__Aeriscardovia,0.281911507,0.870980045,NA,0.169392119,NA,5.141797914,1,0.000883178,1,0.221677674,FALSE,FALSE,FALSE,TRUE
 g__Bacillus,1.104039403,-0.796668972,NA,0.21455213,NA,-3.713172053,1,0.000901644,1,0.225410912,FALSE,FALSE,FALSE,FALSE
 g__Other_46,0.930179208,-0.631279789,NA,0.16813107,NA,-3.754688451,1,0.000976996,1,0.243271889,FALSE,FALSE,FALSE,FALSE
 g__Caecibacter,0.869569851,-0.80302819,NA,0.149128508,NA,-5.384806703,1,0.001025063,1,0.254215562,FALSE,FALSE,FALSE,FALSE
 g__Extibacter,1.068657974,-0.801110413,NA,0.210539503,NA,-3.805036109,1,0.001034503,1,0.255522258,FALSE,FALSE,FALSE,FALSE
 g__Clostridium_Q,1.444431292,-1.314059862,NA,0.380678062,NA,-3.451892805,1,0.001045353,1,0.257156783,FALSE,FALSE,FALSE,FALSE
 g__Alistipes_A,-0.711362305,1.646209034,NA,0.476532913,NA,3.454554739,1,0.001294639,1,0.317186615,FALSE,FALSE,TRUE,FALSE
 g__Other_16,1.238579992,-1.060673382,NA,0.312558664,NA,-3.393517776,1,0.001391475,1,0.338338981,FALSE,FALSE,FALSE,FALSE
 g__Anaerosporobacter,1.030318316,-0.745902636,NA,0.214736667,NA,-3.473569022,1,0.001386635,1,0.338338981,FALSE,FALSE,FALSE,FALSE
 g__Cellulosilyticum,0.258660141,0.498933255,NA,0.135505815,NA,3.682006241,1,0.001477855,1,0.357628697,FALSE,FALSE,FALSE,TRUE
 g__Citrobacter,-0.779348918,1.37939798,NA,0.379922825,NA,3.630732057,1,0.001477805,1,0.357628697,FALSE,FALSE,TRUE,FALSE
 g__Bacillus_H,1.05700741,-0.79344901,NA,0.222428415,NA,-3.567210643,1,0.001559665,1,0.374319617,FALSE,FALSE,FALSE,FALSE
 g__Other_49,0.197832927,0.539746888,NA,0.136992598,NA,3.939971181,1,0.001693297,1,0.404698036,FALSE,FALSE,FALSE,TRUE
 g__Muribaculum,0.938730534,-0.805297167,NA,0.150462362,NA,-5.352150251,1,0.001741049,1,0.414369587,FALSE,FALSE,FALSE,FALSE
 g__Oribacterium,1.276099735,-1.559029304,NA,0.449683157,NA,-3.466950631,1,0.001778179,1,0.421428526,FALSE,FALSE,FALSE,FALSE
 g__Other_40,1.205635463,-1.063346951,NA,0.318743469,NA,-3.33605879,1,0.001943347,1,0.45862985,FALSE,FALSE,FALSE,FALSE
 g__Other_53,0.982128064,-0.786014038,NA,0.224405234,NA,-3.502654655,1,0.002011249,1,0.472643409,FALSE,FALSE,FALSE,FALSE
 g__Bacteroides,1.65275394,-1.626543833,NA,0.503221414,NA,-3.232262756,1,0.002027024,1,0.474323569,FALSE,FALSE,FALSE,FALSE
 g__Lactobacillus,-1.098802565,2.367519631,NA,0.731234267,NA,3.237703345,1,0.002027048,1,0.474323569,FALSE,FALSE,FALSE,FALSE
 g__Herbinix,1.133317433,-0.951386556,NA,0.286044037,NA,-3.326014293,1,0.002077806,1,0.482051039,FALSE,FALSE,FALSE,FALSE
 g__Pontibacillus,0.930201213,-0.538506758,NA,0.148762952,NA,-3.619898312,1,0.002115531,1,0.487379857,FALSE,FALSE,FALSE,FALSE
 g__Finegoldia,0.006574506,0.579977755,NA,0.12237917,NA,4.739186855,1,0.00210987,1,0.487379857,FALSE,FALSE,FALSE,TRUE
 g__Other_48,0.178875966,0.524353161,NA,0.132897204,NA,3.945554489,1,0.002290097,1,0.524432185,FALSE,FALSE,FALSE,TRUE
 g__Fusicatenibacter,1.335813924,-1.207831457,NA,0.373726317,NA,-3.23186086,1,0.002464074,1,0.561808804,FALSE,FALSE,FALSE,FALSE
 g__Levilactobacillus,-0.213502309,0.953722691,NA,0.292095875,NA,3.265101536,1,0.002736722,1,0.621235869,FALSE,FALSE,FALSE,FALSE
 g__Brochothrix,1.126688424,-0.784834136,NA,0.231275705,NA,-3.393500141,1,0.002884261,1,0.651843036,FALSE,FALSE,TRUE,TRUE
 g__Paenarthrobacter,1.034031183,-0.635799047,NA,0.151978548,NA,-4.183478887,1,0.003064987,1,0.689621978,FALSE,FALSE,FALSE,TRUE
 g__Other_43,0.903174996,-0.676778251,NA,0.16796854,NA,-4.029196478,1,0.003792295,1,0.849473999,FALSE,FALSE,FALSE,FALSE
 g__Frisingicoccus,0.877902202,-0.504815916,NA,0.143750909,NA,-3.51174069,1,0.003826925,1,0.853404167,FALSE,FALSE,FALSE,FALSE
 g__Pseudoruminococcus,0.484923704,0.714180697,NA,0.179121012,NA,3.987140811,1,0.004021349,1,0.892739446,FALSE,FALSE,FALSE,FALSE
 g__Anaerostipes,1.22528973,-1.041301403,NA,0.345821298,NA,-3.011096798,1,0.004107692,1,0.907799949,FALSE,FALSE,FALSE,FALSE
 g__Clostridium_H,0.027574641,0.787476664,NA,0.258813788,NA,3.042637987,1,0.004182588,1,0.920169449,FALSE,FALSE,TRUE,TRUE
 g__Enorma,0.150750638,0.719899373,NA,0.211955317,NA,3.396467626,1,0.004343303,1,0.951183321,FALSE,FALSE,FALSE,TRUE
 g__Stomatobaculum,1.137730413,-0.904416661,NA,0.300051836,NA,-3.014201393,1,0.004356029,1,0.951183321,FALSE,FALSE,FALSE,FALSE
 g__Methanobrevibacter_A,0.505135268,0.040461192,NA,0.140960765,NA,0.287038681,1,0.78239341,1,1,FALSE,FALSE,TRUE,TRUE
 g__Actinomyces,0.56902051,-0.002567381,NA,0.248852294,NA,-0.010316889,1,0.991876019,1,1,FALSE,FALSE,TRUE,TRUE
 g__Bifidobacterium,0.177038472,0.721882536,NA,0.779947334,NA,0.925552925,1,0.361201592,1,1,FALSE,FALSE,TRUE,TRUE
 g__Frondihabitans,0.38020869,0.474357509,NA,0.140624733,NA,3.373215348,1,0.019820121,1,1,FALSE,FALSE,TRUE,TRUE
 g__Plantibacter,0.581232013,0.037794926,NA,0.167980504,NA,0.224995906,1,0.824384618,1,1,FALSE,FALSE,FALSE,TRUE
 g__Paeniglutamicibacter,0.71047053,-0.035755562,NA,0.157683881,NA,-0.226754703,1,0.823892016,1,1,FALSE,FALSE,FALSE,TRUE
 g__Micromonospora,0.282704892,0.638794636,NA,0.531316295,NA,1.202286929,1,0.23897783,1,1,FALSE,FALSE,TRUE,TRUE
 g__Other_4,0.37721346,0.425287513,NA,0.345186743,NA,1.23205054,1,0.232960509,1,1,FALSE,FALSE,TRUE,TRUE
 g__Corynebacterium,0.920618693,-0.469364652,NA,0.290820066,NA,-1.61393489,1,0.113236329,1,1,FALSE,FALSE,FALSE,FALSE
 g__Gordonia,0.787666758,-0.273311453,NA,0.31291874,NA,-0.873426285,1,0.386967705,1,1,FALSE,FALSE,FALSE,FALSE
 g__Lawsonella,0.574668481,0.083191217,NA,0.311224351,NA,0.267303047,1,0.790484809,1,1,FALSE,FALSE,FALSE,FALSE
 g__Mycobacterium,0.803296959,-0.277739153,NA,0.358498387,NA,-0.774729156,1,0.442379969,1,1,FALSE,FALSE,FALSE,FALSE
 g__Other_5,0.625341568,0.000844967,NA,0.340264152,NA,0.002483269,1,0.998029616,1,1,FALSE,FALSE,FALSE,FALSE
 g__Rhodococcus,1.013172749,-0.619190745,NA,0.299755674,NA,-2.065651461,1,0.043765912,1,1,FALSE,FALSE,FALSE,TRUE
 g__Rhodococcus_B,1.043045613,-0.662955159,NA,0.414914219,NA,-1.597812581,1,0.116647736,1,1,FALSE,FALSE,FALSE,FALSE
 g__Rhodococcus_C,0.484598749,0.249048675,NA,0.479997812,NA,0.518853771,1,0.606522891,1,1,FALSE,FALSE,FALSE,TRUE
 g__Other_6,0.890172921,-0.36721649,NA,0.186613804,NA,-1.967788459,1,0.062438661,1,1,FALSE,FALSE,FALSE,FALSE
 g__Nocardioides,0.558833627,0.137332205,NA,0.599238462,NA,0.229177888,1,0.819843024,1,1,FALSE,FALSE,FALSE,TRUE
 g__Arachnia,0.131286097,0.901500904,NA,0.530056924,NA,1.700762435,1,0.101395983,1,1,FALSE,FALSE,TRUE,TRUE
 g__Cutibacterium,0.864152321,-0.308792167,NA,0.462268339,NA,-0.66799333,1,0.511773638,1,1,FALSE,FALSE,TRUE,TRUE
 g__Streptomyces,0.810032933,-0.32186827,NA,0.368105632,NA,-0.87439105,1,0.386351596,1,1,FALSE,FALSE,FALSE,FALSE
 g__Atopobium,0.838266059,-0.356563998,NA,0.261936433,NA,-1.361261566,1,0.180208828,1,1,FALSE,FALSE,FALSE,FALSE
 g__Olsenella,0.514617234,0.218503162,NA,0.30016918,NA,0.727933369,1,0.470693358,1,1,FALSE,FALSE,FALSE,FALSE
 g__Olsenella_B,0.537413538,0.011888909,NA,0.281564376,NA,0.042224479,1,0.96749891,1,1,FALSE,FALSE,TRUE,TRUE
 g__[Atopobiaceae_Jenna_p2_metabat2_low_PE.018.contigs],NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE
 g__Collinsella,0.169334143,0.706104609,NA,0.54177586,NA,1.303315007,1,0.198100798,1,1,FALSE,FALSE,TRUE,TRUE
 g__Other_9,0.684407347,-0.354218061,NA,0.132418376,NA,-2.674991742,1,0.0367809,1,1,FALSE,FALSE,FALSE,TRUE
 g__Ellagibacter,0.683126346,-0.265637408,NA,0.146009613,NA,-1.819314517,1,0.102214334,1,1,FALSE,FALSE,FALSE,FALSE
 g__Paraeggerthella,0.448573063,0.040275212,NA,0.175989387,NA,0.228850232,1,0.822294543,1,1,FALSE,FALSE,TRUE,TRUE
 g__Senegalimassilia,0.018577032,0.542964707,NA,0.208096161,NA,2.609200983,1,0.02283524,1,1,FALSE,FALSE,TRUE,TRUE
 g__Other_12,0.633663364,-0.187101883,NA,0.118420411,NA,-1.579980018,1,0.148568938,1,1,FALSE,FALSE,FALSE,FALSE
 g__Bacteroides_E,0.786604437,-0.327324333,NA,0.322174681,NA,-1.015984036,1,0.314838721,1,1,FALSE,FALSE,FALSE,FALSE
 g__Other_13,0.633580753,-0.142915239,NA,0.186146591,NA,-0.767756414,1,0.449823146,1,1,FALSE,FALSE,FALSE,FALSE
 g__Paraprevotella,0.980037386,-0.603174468,NA,0.468484207,NA,-1.287502244,1,0.203620252,1,1,FALSE,FALSE,FALSE,TRUE
 g__Phocaeicola,1.673971721,-1.654248065,NA,0.78871718,NA,-2.097390684,1,0.040745118,1,1,FALSE,FALSE,FALSE,FALSE
 g__Prevotella,1.386430585,-1.266155225,NA,0.570578177,NA,-2.219074048,1,0.030704096,1,1,FALSE,FALSE,FALSE,FALSE
 g__Prevotellamassilia,0.884213892,-0.452833713,NA,0.517057267,NA,-0.875790251,1,0.384952992,1,1,FALSE,FALSE,TRUE,TRUE
 g__Barnesiella,1.171225263,-0.910915518,NA,0.290656186,NA,-3.133996671,1,0.007911673,1,1,FALSE,FALSE,FALSE,TRUE
 g__Butyricimonas,0.652554613,-0.073629105,NA,0.31804777,NA,-0.23150329,1,0.819275895,1,1,FALSE,FALSE,TRUE,TRUE
 g__Odoribacter,1.057923263,-0.618469052,NA,0.169591632,NA,-3.646813499,1,0.005343942,1,1,FALSE,FALSE,TRUE,TRUE
 g__CAG-279,0.468309877,0.156101144,NA,0.264048762,NA,0.591183016,1,0.5604235,1,1,FALSE,FALSE,FALSE,TRUE
 g__Other_15,0.711800269,-0.019260337,NA,0.13870815,NA,-0.138855124,1,0.892996411,1,1,FALSE,FALSE,FALSE,TRUE
 g__Porphyromonas_A,0.932796791,-0.52360195,NA,0.257118802,NA,-2.036420312,1,0.050327465,1,1,FALSE,FALSE,FALSE,FALSE
 g__Rikenella,0.292671714,0.280298854,NA,0.151392437,NA,1.85147197,1,0.085308169,1,1,FALSE,FALSE,FALSE,TRUE
 g__Parabacteroides,1.060501066,-0.744211367,NA,0.578502947,NA,-1.286443518,1,0.20358143,1,1,FALSE,FALSE,TRUE,TRUE
 g__RC9,0.723528765,-0.210335013,NA,0.174195412,NA,-1.207465863,1,0.2420697,1,1,FALSE,FALSE,FALSE,TRUE
 g__Flavobacterium,0.732095644,-0.156076202,NA,0.147372967,NA,-1.059055848,1,0.301604516,1,1,FALSE,FALSE,FALSE,TRUE
 g__Other_17,0.799422552,-0.306872519,NA,0.202480176,NA,-1.515568216,1,0.142689705,1,1,FALSE,FALSE,FALSE,TRUE
 g__Algoriella,0.496178647,0.191528922,NA,0.141610897,NA,1.352501291,1,0.192962913,1,1,FALSE,FALSE,FALSE,TRUE
 g__Elizabethkingia,0.73528339,-0.119702614,NA,0.154352465,NA,-0.775514751,1,0.449346854,1,1,FALSE,FALSE,FALSE,FALSE
 g__Sphingobacterium,0.789561156,-0.287314601,NA,0.178837542,NA,-1.606567605,1,0.120707834,1,1,FALSE,FALSE,FALSE,TRUE
 g__Campylobacter,0.750520679,-0.265910625,NA,0.263452205,NA,-1.00933156,1,0.320387177,1,1,FALSE,FALSE,FALSE,TRUE
 g__Campylobacter_D,0.674890346,-0.101355098,NA,0.301247228,NA,-0.336451555,1,0.738539365,1,1,FALSE,FALSE,FALSE,TRUE
 g__Helicobacter_A,0.880961539,-0.474842213,NA,0.28048593,NA,-1.692927032,1,0.100184756,1,1,FALSE,FALSE,FALSE,TRUE
 g__Helicobacter_B,0.617037454,-0.022665474,NA,0.133119269,NA,-0.170264409,1,0.867423447,1,1,FALSE,FALSE,FALSE,TRUE
 g__Helicobacter_C,1.246553798,-0.995993415,NA,0.53685744,NA,-1.855228857,1,0.06902556,1,1,FALSE,FALSE,FALSE,TRUE
 g__Helicobacter_D,1.04988339,-1.021532963,NA,0.391457844,NA,-2.609560588,1,0.017229918,1,1,FALSE,FALSE,FALSE,FALSE
 g__Bilophila,0.783704853,-0.283317292,NA,0.249640576,NA,-1.13490081,1,0.271304298,1,1,FALSE,FALSE,FALSE,TRUE
 g__Desulfovibrio,0.951857354,-0.550874499,NA,0.324204392,NA,-1.699158041,1,0.097683887,1,1,FALSE,FALSE,FALSE,TRUE
 g__Fundidesulfovibrio,0.772346487,-0.273448216,NA,0.183471315,NA,-1.490413997,1,0.14970291,1,1,FALSE,FALSE,FALSE,FALSE
 g__Other_22,0.817639781,-0.35139227,NA,0.200557655,NA,-1.752076077,1,0.093084912,1,1,FALSE,FALSE,FALSE,FALSE
 g__[Anaeroplasmataceae_Juniper_p2_metabat2_high_PE.004.contigs],0.830250722,-0.456160538,NA,0.174738627,NA,-2.61053063,1,0.018277403,1,1,FALSE,FALSE,FALSE,FALSE
 g__[Anaeroplasmataceae_SAMEA103957793_metabat2_high_PE.005.contigs],0.431711715,0.416410977,NA,0.189563715,NA,2.196680819,1,0.03887349,1,1,FALSE,FALSE,FALSE,FALSE
