taxon,median,range
Fusicatenibacter,0.00461538461538461,0-0.139230769230769
Hespellia,0,0-0.0138461538461538
Hungatella,0,0-0.0269230769230769
Lachnoclostridium_A,0,0-0.00692307692307692
Lachnoclostridium_B,0.000769230769230769,0-0.0792307692307692
Lachnospira,0.00230769230769231,0-0.801538461538462
Lacrimispora,0,0-0.0138461538461538
Lactonifactor,0,0-0.0761538461538462
Marvinbryantia,0,0-0.0130769230769231
Massilistercora,0,0-0.00384615384615385
Mediterraneibacter,0.0630769230769231,0-1.48923076923077
Merdimonas,0,0-0.0107692307692308
Muricomes,0,0-0.197692307692308
Oribacterium,0,0-0.0423076923076923
Roseburia,0.00461538461538461,0-0.505384615384615
Ruminococcus_A,0.327692307692308,0-3.36538461538462
Ruminococcus_B,1.48923076923077,0-39.5976923076923
Schaedlerella,0.239230769230769,0-6.74769230769231
Sellimonas,0.000769230769230769,0-0.0592307692307692
Stomatobaculum,0,0-0.00153846153846154
TF01-11,0.000769230769230769,0-0.0376923076923077
UBA9502,0.0853846153846154,0-5.59076923076923
VUNI01,0,0-0.00230769230769231
An172,0,0-0.0207692307692308
Pseudoruminococcus,0,0-0.0184615384615385
Agathobaculum,0.00692307692307692,0-0.988461538461538
Butyricicoccus,0.00384615384615385,0-0.173076923076923
An92,0,0-0.0515384615384615
Flavonifractor,0.00846153846153846,0-2.05769230769231
Intestinimonas,0,0-0.913076923076923
Lawsonibacter,0,0-0.146923076923077
Marseille-P3106,0,0-0.0392307692307692
NSJ-62,0,0-0.00153846153846154
Pseudoflavonifractor,0,0-0.0384615384615385
UBA9475,0,0-0.00538461538461538
Anaerofilum,0,0-0.0246153846153846
Anaerotruncus,0,0-0.405384615384615
Angelakisella,0,0-0.0292307692307692
Bittarella,0,0-0.0353846153846154
Faecalibacterium,0.0623076923076923,0-22.1630769230769
Fournierella,0.00153846153846154,0-0.213076923076923
Gemmiger,0,0-0.391538461538462
Harryflintia,0,0-0.00307692307692308
Massilimaliae,0,0-0.0292307692307692
Massilioclostridium,0.000769230769230769,0-0.0138461538461538
Negativibacillus,0,0-4.40307692307692
Phocea,0,0-0.0423076923076923
Ruminococcus_C,0,0-0.0492307692307692
Ruminococcus_D,0,0-0.0123076923076923
Ruthenibacterium,0,0-3.04615384615385
UMGS966,0.00538461538461538,0-0.136923076923077
Alterileibacterium,0,0-0.00461538461538461
BX12,0,0-0.00307692307692308
Emergencia,0,0-0.00230769230769231
Eubacterium_M,0,0-0.896153846153846
Mogibacterium,0,0-0.00307692307692308
UBA1191,0,0-0.00153846153846154
Criibacterium,0,0-0.00153846153846154
Clostridioides,0.00153846153846154,0-0.600769230769231
Clostridioides_A,0,0-0.00153846153846154
GCA-900066495,0,0-0.0569230769230769
Intestinibacter,0,0-0.0192307692307692
Paraclostridium,0.00153846153846154,0-0.960769230769231
Peptacetobacter,1.12923076923077,0-14.6
Peptostreptococcus,0,0-5
Romboutsia,0.0230769230769231,0-0.796923076923077
Terrisporobacter,0,0-9.30076923076923
Anaerococcus,0,0-0.193076923076923
Finegoldia,0,0-0.0661538461538462
Peptoniphilus_A,0,0-0.198461538461538
Christensenella,0,0-0.0123076923076923
UMGS1590,0.00307692307692308,0-9.85
Acidaminococcus,0,0-0.0207692307692308
Phascolarctobacterium,0,0-1.23538461538462
Phascolarctobacterium_A,0.0461538461538461,0-2.74538461538462
Megamonas,0.0215384615384615,0-3.96
Allisonella,0,0-0.0807692307692308
Dialister,0,0-0.133846153846154
28L,0,0-0
Caecibacter,0,0-0.0169230769230769
Megasphaera,0,0-10.1984615384615
Veillonella,0,0-0.917692307692308
Cetobacterium_A,0,0-0.484615384615385
Fusobacterium,0,0-3.68538461538462
Fusobacterium_A,0.118461538461538,0-8.40461538461538
Fusobacterium_B,0.03,0-14.7169230769231
Fusobacterium_C,0,0-12.1692307692308
Brevundimonas,0,0-0.206153846153846
Bradyrhizobium,0,0-0.00384615384615385
Sphingobium,0,0-0.00538461538461538
Sphingomonas,0,0-0.0253846153846154
CAG-521,0,0-0.397692307692308
Janthinobacterium,0,0-0.00153846153846154
Sutterella,0.00846153846153846,0-2.80461538461538
Variovorax,0,0-0
Citrobacter,0.000769230769230769,0-0.192307692307692
